Timestamp_ms,Row,Point_Index,X,Y,Screen_Width,Screen_Height
0,0,0,20,20,1920,1080
33,0,1,43,20,1920,1080
66,0,2,67,20,1920,1080
99,0,3,91,20,1920,1080
132,0,4,115,20,1920,1080
165,0,5,138,20,1920,1080
198,0,6,162,20,1920,1080
231,0,7,186,20,1920,1080
264,0,8,210,20,1920,1080
297,0,9,234,20,1920,1080
330,0,10,257,20,1920,1080
363,0,11,281,20,1920,1080
396,0,12,305,20,1920,1080
429,0,13,329,20,1920,1080
462,0,14,353,20,1920,1080
495,0,15,376,20,1920,1080
528,0,16,400,20,1920,1080
561,0,17,424,20,1920,1080
594,0,18,448,20,1920,1080
627,0,19,472,20,1920,1080
660,0,20,495,20,1920,1080
693,0,21,519,20,1920,1080
726,0,22,543,20,1920,1080
759,0,23,567,20,1920,1080
792,0,24,591,20,1920,1080
825,0,25,614,20,1920,1080
858,0,26,638,20,1920,1080
891,0,27,662,20,1920,1080
924,0,28,686,20,1920,1080
957,0,29,710,20,1920,1080
990,0,30,733,20,1920,1080
1023,0,31,757,20,1920,1080
1056,0,32,781,20,1920,1080
1089,0,33,805,20,1920,1080
1122,0,34,829,20,1920,1080
1155,0,35,852,20,1920,1080
1188,0,36,876,20,1920,1080
1221,0,37,900,20,1920,1080
1254,0,38,924,20,1920,1080
1287,0,39,948,20,1920,1080
1320,0,40,971,20,1920,1080
1353,0,41,995,20,1920,1080
1386,0,42,1019,20,1920,1080
1419,0,43,1043,20,1920,1080
1452,0,44,1067,20,1920,1080
1485,0,45,1090,20,1920,1080
1518,0,46,1114,20,1920,1080
1551,0,47,1138,20,1920,1080
1584,0,48,1162,20,1920,1080
1617,0,49,1186,20,1920,1080
1650,0,50,1209,20,1920,1080
1683,0,51,1233,20,1920,1080
1716,0,52,1257,20,1920,1080
1749,0,53,1281,20,1920,1080
1782,0,54,1305,20,1920,1080
1815,0,55,1328,20,1920,1080
1848,0,56,1352,20,1920,1080
1881,0,57,1376,20,1920,1080
1914,0,58,1400,20,1920,1080
